time,t_hts_1,t_hts_2,t_hts_3,t_hts_4,t_lts_1,t_lts_0,t_fpsc,t_vtsc,t_amb,v_ppsc,v_pssc,b_ac,i_g
2020-05-27 21:00:04+02:00,58.6,57.5,56.9,55.9,16.5,17.1,27.1,51.3,24.3,0,0,1,22.3667
2020-05-27 21:00:09+02:00,58.6,57.5,56.9,55.9,16.5,17.2,27.1,51.3,24.3,0,0,1,22.225
2020-05-27 21:00:14+02:00,58.6,57.5,56.8,55.9,16.5,17.2,27.1,51.3,24.3,0,0,1,22.0917
2020-05-27 21:00:19+02:00,58.6,57.4,56.8,55.9,16.5,17.2,27.1,51.3,24.3,0,0,1,21.8167
2020-05-27 21:00:24+02:00,58.6,57.4,56.8,55.9,16.6,17.2,27.0,51.2,24.3,0,0,1,21.7917
2020-05-27 21:00:29+02:00,58.6,57.4,56.8,56.0,16.6,17.2,27.0,51.2,24.3,0,0,1,21.7917
2020-05-27 21:00:34+02:00,58.6,57.4,56.7,56.0,16.6,17.2,27.0,51.2,24.3,0,0,1,21.6
2020-05-27 21:00:39+02:00,58.6,57.4,56.7,56.0,16.6,17.2,27.0,51.1,24.3,0,0,1,21.4
2020-05-27 21:00:44+02:00,58.5,57.4,56.7,56.0,16.6,17.2,27.0,51.1,24.2,0,0,1,21.25
2020-05-27 21:00:49+02:00,58.5,57.4,56.7,56.0,16.6,17.2,27.0,51.1,24.2,0,0,1,21.1917
2020-05-27 21:00:54+02:00,58.5,57.4,56.7,56.0,16.6,17.2,27.0,51.1,24.2,0,0,1,21.2583
2020-05-27 21:00:59+02:00,58.5,57.4,56.7,56.0,16.6,17.2,27.0,51.0,24.2,0,0,1,21.175
2020-05-27 21:01:04+02:00,58.5,57.4,56.7,56.0,16.6,17.2,26.9,51.0,24.2,0,0,1,21.0667
2020-05-27 21:01:09+02:00,58.5,57.4,56.7,56.1,16.6,17.2,26.9,51.0,24.2,0,0,1,21.0083
2020-05-27 21:01:14+02:00,58.4,57.4,56.6,56.1,16.6,17.1,26.9,50.9,24.2,0,0,1,20.8917
2020-05-27 21:01:19+02:00,58.4,57.4,56.6,56.1,16.6,17.1,26.9,50.9,24.2,0,0,1,20.7833
2020-05-27 21:01:24+02:00,58.4,57.4,56.6,56.1,16.6,17.1,26.9,50.9,24.2,0,0,1,20.775
