time,t_hts_1,t_hts_2,t_hts_3,t_hts_4,t_lts_1,t_lts_0,t_fpsc,t_vtsc,t_amb,v_ppsc,v_pssc,b_ac,i_g
2020-05-27 22:20:33+02:00,50.0,48.9,48.5,47.9,16.4,16.8,15.6,36.6,19.9,0,0,1,1.275
2020-05-27 22:20:38+02:00,50.0,48.9,48.5,47.9,16.4,16.7,15.6,36.6,19.9,0,0,1,1.275
2020-05-27 22:20:43+02:00,50.0,48.9,48.5,47.9,16.4,16.7,15.6,36.6,19.9,0,0,1,1.4083299999999999
2020-05-27 22:20:48+02:00,49.9,48.9,48.5,48.0,16.4,16.7,15.6,36.6,19.9,0,0,0,1.35833
2020-05-27 22:20:53+02:00,49.9,48.9,48.5,48.0,16.4,16.8,15.6,36.5,19.9,0,0,0,1.41667
2020-05-27 22:20:58+02:00,49.9,48.9,48.5,48.0,16.4,16.8,15.6,36.5,19.9,0,0,0,1.41667
